date,gold_close,gold_source
2017-01-22,1215.3326365426,AlphaVantage:GOLD:daily
2017-01-23,1217.1095421939,AlphaVantage:GOLD:daily
2017-01-24,1209.0788399922,AlphaVantage:GOLD:daily
2017-01-25,1200.5183436948,AlphaVantage:GOLD:daily
2017-01-26,1188.2111403118,AlphaVantage:GOLD:daily
2017-01-27,1190.9286758112,AlphaVantage:GOLD:daily
2017-01-28,1190.7880635405,AlphaVantage:GOLD:daily
2017-01-29,1194.422049031,AlphaVantage:GOLD:daily
2017-01-30,1196.5166550864,AlphaVantage:GOLD:daily
2017-01-31,1211.5298431664,AlphaVantage:GOLD:daily
2017-02-01,1209.3435769318,AlphaVantage:GOLD:daily
2017-02-02,1215.2701434203,AlphaVantage:GOLD:daily
2017-02-03,1220.327470278,AlphaVantage:GOLD:daily
2017-02-04,1220.5913765219,AlphaVantage:GOLD:daily
2017-02-05,1221.0981335515,AlphaVantage:GOLD:daily
2017-02-06,1233.9981222581,AlphaVantage:GOLD:daily
2017-02-07,1232.4583920196,AlphaVantage:GOLD:daily
2017-02-08,1240.820059414,AlphaVantage:GOLD:daily
2017-02-09,1228.0782059171,AlphaVantage:GOLD:daily
2017-02-10,1233.6052807122,AlphaVantage:GOLD:daily
2017-02-11,1233.403020604,AlphaVantage:GOLD:daily
2017-02-12,1230.1863117169,AlphaVantage:GOLD:daily
2017-02-13,1225.5920537773,AlphaVantage:GOLD:daily
2017-02-14,1228.4410430635,AlphaVantage:GOLD:daily
2017-02-15,1232.9495762284,AlphaVantage:GOLD:daily
2017-02-16,1238.8355767336,AlphaVantage:GOLD:daily
2017-02-17,1234.9275121938,AlphaVantage:GOLD:daily
2017-02-18,1234.7813202282,AlphaVantage:GOLD:daily
2017-02-19,1236.2467548523,AlphaVantage:GOLD:daily
2017-02-20,1237.5704393005,AlphaVantage:GOLD:daily
2017-02-21,1235.1234770466,AlphaVantage:GOLD:daily
2017-02-22,1237.3507202636,AlphaVantage:GOLD:daily
2017-02-23,1249.5612878074,AlphaVantage:GOLD:daily
2017-02-24,1257.17979668,AlphaVantage:GOLD:daily
2017-02-25,1257.489924362,AlphaVantage:GOLD:daily
2017-02-26,1256.1393812257,AlphaVantage:GOLD:daily
2017-02-27,1253.0551209298,AlphaVantage:GOLD:daily
2017-02-28,1246.6401371499,AlphaVantage:GOLD:daily
2017-03-01,1247.6760650434,AlphaVantage:GOLD:daily
2017-03-02,1234.9031950899,AlphaVantage:GOLD:daily
2017-03-03,1234.4976302047,AlphaVantage:GOLD:daily
2017-03-04,1234.6364921508,AlphaVantage:GOLD:daily
2017-03-05,1236.1779849063,AlphaVantage:GOLD:daily
2017-03-06,1225.6786926001,AlphaVantage:GOLD:daily
2017-03-07,1216.1557394806,AlphaVantage:GOLD:daily
2017-03-08,1208.3972248695,AlphaVantage:GOLD:daily
2017-03-09,1200.4293265366,AlphaVantage:GOLD:daily
2017-03-10,1204.6979912231,AlphaVantage:GOLD:daily
2017-03-11,1204.8120192047,AlphaVantage:GOLD:daily
2017-03-12,1206.1053050542,AlphaVantage:GOLD:daily
2017-03-13,1202.5902219637,AlphaVantage:GOLD:daily
2017-03-14,1199.7530084071,AlphaVantage:GOLD:daily
2017-03-15,1220.0824844073,AlphaVantage:GOLD:daily
2017-03-16,1226.7155832153,AlphaVantage:GOLD:daily
2017-03-17,1229.2023675817,AlphaVantage:GOLD:daily
2017-03-18,1229.6039445695,AlphaVantage:GOLD:daily
2017-03-19,1231.3223786686,AlphaVantage:GOLD:daily
2017-03-20,1234.125365889,AlphaVantage:GOLD:daily
2017-03-21,1245.2909548519,AlphaVantage:GOLD:daily
2017-03-22,1247.4600270208,AlphaVantage:GOLD:daily
2017-03-23,1245.2980129397,AlphaVantage:GOLD:daily
2017-03-24,1244.8092598127,AlphaVantage:GOLD:daily
2017-03-25,1245.314504178,AlphaVantage:GOLD:daily
2017-03-26,1253.0700215528,AlphaVantage:GOLD:daily
2017-03-27,1253.3308666352,AlphaVantage:GOLD:daily
2017-03-28,1250.5010437303,AlphaVantage:GOLD:daily
2017-03-29,1252.5395532497,AlphaVantage:GOLD:daily
2017-03-30,1243.425410236,AlphaVantage:GOLD:daily
2017-03-31,1248.7212251626,AlphaVantage:GOLD:daily
2017-04-01,1248.7668427428,AlphaVantage:GOLD:daily
2017-04-02,1248.384902033,AlphaVantage:GOLD:daily
2017-04-03,1254.8677631558,AlphaVantage:GOLD:daily
2017-04-04,1255.7794881944,AlphaVantage:GOLD:daily
2017-04-05,1257.029017487,AlphaVantage:GOLD:daily
2017-04-06,1251.4867326667,AlphaVantage:GOLD:daily
2017-04-07,1254.2516862979,AlphaVantage:GOLD:daily
2017-04-08,1254.602824111,AlphaVantage:GOLD:daily
2017-04-09,1254.996454635,AlphaVantage:GOLD:daily
2017-04-10,1255.5127838607,AlphaVantage:GOLD:daily
2017-04-11,1275.2432318822,AlphaVantage:GOLD:daily
2017-04-12,1286.7559066667,AlphaVantage:GOLD:daily
2017-04-13,1287.3196681032,AlphaVantage:GOLD:daily
2017-04-14,1285.7298608684,AlphaVantage:GOLD:daily
2017-04-15,1285.99996142,AlphaVantage:GOLD:daily
2017-04-16,1295.0264509153,AlphaVantage:GOLD:daily
2017-04-17,1283.6617424152,AlphaVantage:GOLD:daily
2017-04-18,1289.053631537,AlphaVantage:GOLD:daily
2017-04-19,1279.0745093192,AlphaVantage:GOLD:daily
2017-04-20,1281.0237840908,AlphaVantage:GOLD:daily
2017-04-21,1284.2046851041,AlphaVantage:GOLD:daily
2017-04-22,1284.30705213,AlphaVantage:GOLD:daily
2017-04-23,1274.2099898063,AlphaVantage:GOLD:daily
2017-04-24,1276.5832425979,AlphaVantage:GOLD:daily
2017-04-25,1263.8337023968,AlphaVantage:GOLD:daily
2017-04-26,1267.8237706591,AlphaVantage:GOLD:daily
2017-04-27,1264.0749183004,AlphaVantage:GOLD:daily
2017-04-28,1267.7317220013,AlphaVantage:GOLD:daily
2017-04-29,1267.7725869534,AlphaVantage:GOLD:daily
2017-04-30,1270.5027379334,AlphaVantage:GOLD:daily
2017-05-01,1256.4349260338,AlphaVantage:GOLD:daily
2017-05-02,1256.5508825974,AlphaVantage:GOLD:daily
2017-05-03,1238.5056268493,AlphaVantage:GOLD:daily
2017-05-04,1228.0939236293,AlphaVantage:GOLD:daily
2017-05-05,1227.8404348781,AlphaVantage:GOLD:daily
2017-05-06,1227.9656906386,AlphaVantage:GOLD:daily
2017-05-07,1234.4688389203,AlphaVantage:GOLD:daily
2017-05-08,1226.8464591348,AlphaVantage:GOLD:daily
2017-05-09,1222.7939051829,AlphaVantage:GOLD:daily
2017-05-10,1218.1948856392,AlphaVantage:GOLD:daily
2017-05-11,1225.0148455696,AlphaVantage:GOLD:daily
2017-05-12,1228.5447602715,AlphaVantage:GOLD:daily
2017-05-13,1228.6521685711,AlphaVantage:GOLD:daily
2017-05-14,1229.8911354718,AlphaVantage:GOLD:daily
2017-05-15,1231.0826972479,AlphaVantage:GOLD:daily
2017-05-16,1241.2236483069,AlphaVantage:GOLD:daily
2017-05-17,1259.9375493637,AlphaVantage:GOLD:daily
2017-05-18,1247.9439546453,AlphaVantage:GOLD:daily
2017-05-19,1255.0825589334,AlphaVantage:GOLD:daily
2017-05-20,1255.0988390336,AlphaVantage:GOLD:daily
2017-05-21,1257.2791494986,AlphaVantage:GOLD:daily
2017-05-22,1262.0032268476,AlphaVantage:GOLD:daily
2017-05-23,1251.1396341333,AlphaVantage:GOLD:daily
2017-05-24,1257.9674542592,AlphaVantage:GOLD:daily
2017-05-25,1255.038851957,AlphaVantage:GOLD:daily
2017-05-26,1267.0161111803,AlphaVantage:GOLD:daily
2017-05-27,1267.1942418694,AlphaVantage:GOLD:daily
2017-05-28,1268.0239525784,AlphaVantage:GOLD:daily
2017-05-29,1267.0924233707,AlphaVantage:GOLD:daily
2017-05-30,1262.6116607332,AlphaVantage:GOLD:daily
2017-05-31,1268.6397212551,AlphaVantage:GOLD:daily
2017-06-01,1264.7867322352,AlphaVantage:GOLD:daily
2017-06-02,1279.0523787854,AlphaVantage:GOLD:daily
2017-06-03,1278.7887313137,AlphaVantage:GOLD:daily
2017-06-04,1280.1471896059,AlphaVantage:GOLD:daily
2017-06-05,1280.1497467069,AlphaVantage:GOLD:daily
2017-06-06,1293.6296820635,AlphaVantage:GOLD:daily
2017-06-07,1285.6185211708,AlphaVantage:GOLD:daily
2017-06-08,1279.7070111215,AlphaVantage:GOLD:daily
2017-06-09,1266.7036981624,AlphaVantage:GOLD:daily
2017-06-10,1267.1059300558,AlphaVantage:GOLD:daily
2017-06-11,1267.6971933804,AlphaVantage:GOLD:daily
2017-06-12,1265.3895965962,AlphaVantage:GOLD:daily
2017-06-13,1266.6965514243,AlphaVantage:GOLD:daily
2017-06-14,1262.8214763271,AlphaVantage:GOLD:daily
2017-06-15,1254.0724673604,AlphaVantage:GOLD:daily
2017-06-16,1253.3413016456,AlphaVantage:GOLD:daily
2017-06-17,1253.4469791928,AlphaVantage:GOLD:daily
2017-06-18,1254.7401638144,AlphaVantage:GOLD:daily
2017-06-19,1243.437206296,AlphaVantage:GOLD:daily
2017-06-20,1244.3495014467,AlphaVantage:GOLD:daily
2017-06-21,1247.8806754756,AlphaVantage:GOLD:daily
2017-06-22,1251.0500362292,AlphaVantage:GOLD:daily
2017-06-23,1256.5051024635,AlphaVantage:GOLD:daily
2017-06-24,1256.5576602896,AlphaVantage:GOLD:daily
2017-06-25,1257.6401639963,AlphaVantage:GOLD:daily
2017-06-26,1243.6517631871,AlphaVantage:GOLD:daily
2017-06-27,1248.7752054188,AlphaVantage:GOLD:daily
2017-06-28,1249.5491660022,AlphaVantage:GOLD:daily
2017-06-29,1246.1638688398,AlphaVantage:GOLD:daily
2017-06-30,1241.6797469761,AlphaVantage:GOLD:daily
2017-07-01,1241.9197595643,AlphaVantage:GOLD:daily
2017-07-02,1241.973744675,AlphaVantage:GOLD:daily
2017-07-03,1222.5684512365,AlphaVantage:GOLD:daily
2017-07-04,1225.7903631656,AlphaVantage:GOLD:daily
2017-07-05,1226.7272417878,AlphaVantage:GOLD:daily
2017-07-06,1223.9753099259,AlphaVantage:GOLD:daily
2017-07-07,1213.151406289,AlphaVantage:GOLD:daily
