date,trend_tariff,trend_inflation,trend_war,trend_tariff_ma_7d,trend_tariff_ma_20d,trend_tariff_z_60d,trend_tariff_spike,trend_inflation_ma_7d,trend_inflation_ma_20d,trend_inflation_z_60d,trend_inflation_spike,trend_war_ma_7d,trend_war_ma_20d,trend_war_z_60d,trend_war_spike
2016-11-01,,,,,,,0,,,,0,,,,0
2016-11-02,,,,,,,0,,,,0,,,,0
2016-11-03,,,,,,,0,,,,0,,,,0
2016-11-04,,,,,,,0,,,,0,,,,0
2016-11-05,3.5249999999999995,14.0,26.0,,,,0,,,,0,,,,0
2016-11-06,3.5249999999999995,14.0,26.0,,,,0,,,,0,,,,0
2016-11-07,3.5249999999999995,14.0,26.0,3.5249999999999995,,,0,14.0,,,0,26.0,,,0
2016-11-08,3.5249999999999995,14.0,26.0,3.5249999999999995,,,0,14.0,,,0,26.0,,,0
2016-11-09,3.5249999999999995,14.0,26.0,3.5249999999999995,,,0,14.0,,,0,26.0,,,0
2016-11-10,3.5249999999999995,14.0,26.0,3.5249999999999995,,,0,14.0,,,0,26.0,,,0
2016-11-11,3.5249999999999995,14.0,26.0,3.5249999999999995,3.5249999999999995,,0,14.0,14.0,,0,26.0,26.0,,0
2016-11-12,3.896052631578947,13.8,26.0,3.578007518796992,3.571381578947368,,0,13.971428571428572,13.975,,0,26.0,26.0,,0
2016-11-13,3.896052631578947,13.8,26.0,3.631015037593985,3.6074561403508767,,0,13.942857142857141,13.955555555555556,,0,26.0,26.0,,0
2016-11-14,3.896052631578947,13.8,26.0,3.684022556390977,3.6363157894736835,,0,13.914285714285715,13.940000000000001,,0,26.0,26.0,,0
2016-11-15,3.896052631578947,13.8,26.0,3.7370300751879695,3.6599282296650713,,0,13.885714285714286,13.927272727272726,,0,26.0,26.0,,0
2016-11-16,3.896052631578947,13.8,26.0,3.790037593984962,3.679605263157894,,0,13.857142857142858,13.916666666666666,,0,26.0,26.0,,0
2016-11-17,3.896052631578947,13.8,26.0,3.843045112781954,3.6962550607287445,,0,13.828571428571431,13.907692307692308,,0,26.0,26.0,,0
2016-11-18,3.896052631578947,13.8,26.0,3.896052631578947,3.710526315789473,,0,13.8,13.9,,0,26.0,26.0,,0
2016-11-19,4.2671052631578945,15.6,26.0,3.949060150375939,3.747631578947368,,0,14.057142857142859,14.013333333333334,,0,26.0,26.0,,0
2016-11-20,4.2671052631578945,15.6,26.0,4.0020676691729316,3.7800986842105258,,0,14.314285714285713,14.1125,,0,26.0,26.0,,0
2016-11-21,4.2671052631578945,15.6,26.0,4.0550751879699245,3.808746130030959,,0,14.571428571428571,14.200000000000001,,0,26.0,26.0,,0
2016-11-22,4.2671052631578945,15.6,26.0,4.108082706766917,3.8342105263157893,,0,14.828571428571427,14.277777777777779,,0,26.0,26.0,,0
2016-11-23,4.2671052631578945,15.6,26.0,4.1610902255639095,3.8569944598337944,,0,15.085714285714287,14.347368421052632,,0,26.0,26.0,,0
2016-11-24,4.2671052631578945,15.6,26.0,4.214097744360902,3.8775,1.2718362974721094,0,15.342857142857143,14.41,1.4803347952552257,0,26.0,26.0,,0
