model_name,prob_version,mean_pr_auc,std_pr_auc,mean_brier,mean_ece,mean_roc_auc,mean_recall_0p5,mean_precision_0p5
xgboost_classifier,isotonic,0.0839424118469646,0.04059003952445031,0.053225081970243525,0.03856377542698454,0.6137258369004754,0.0,0.0
xgboost_classifier,sigmoid,0.08382628674257804,0.049129953440489454,0.05329872973553694,0.039110560981089545,0.5281419570186227,0.0,0.0
linear_svm,sigmoid,0.11941391029693493,0.07257804695753531,0.05629351463737457,0.05677188035535029,0.6327992727819587,0.0,0.0
logistic_regression,sigmoid,0.1070692086086568,0.08277392558195305,0.05755099650149735,0.0582866490179743,0.5786201284025485,0.0,0.0
linear_svm,isotonic,0.10571692361378801,0.06413002165441883,0.05810121897206583,0.06150631153750428,0.6441532662519218,0.0,0.0
logistic_regression,isotonic,0.09131076324845108,0.057385356829020656,0.060180716071510335,0.07424274620451532,0.572792675844574,0.0,0.0
xgboost_classifier,raw,0.13657564753970886,0.08138647565362103,0.06023180392575138,0.06289931767198362,0.6360646952992711,0.05,0.1
logistic_regression,raw,0.12432198202890288,0.10128904091123414,0.23909980318657015,0.39750044336076595,0.642399227323007,0.5892857142857142,0.0678343346731457
